"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Hofstra",72.8688,95,69.7968,197,106.417,173,105.748,206,110.258,218,106.319,135,-0.571506,156
"2026","Holy Cross",67.2946,294,67.4294,317,96.1832,300,100.075,312,117.321,304,115.712,336,-15.6371,341
"2026","Houston",65.2262,346,65.4956,358,114.969,91,119.846,28,89.8245,23,91.9379,2,27.9078,5
"2026","Houston Christian",66.8,312,67.488,312,100.816,245,100.049,313,106.96,177,110.558,228,-10.5091,292
"2026","Howard",69.7042,210,70.412,156,96.948,291,100.024,314,108.091,188,111.95,270,-11.9257,310
"2026","Idaho",69.5125,215,68.784,248,107.386,161,107.19,171,112.258,257,112.305,280,-5.1157,219
"2026","Idaho St.",62.8563,363,64.7345,362,102.259,234,104.68,223,114.681,276,110.603,229,-5.92316,228
"2026","Illinois",72.7339,103,71.5976,100,129.983,6,123.8,8,95.8047,54,97.5641,19,26.2362,13
"2026","Illinois Chicago",71.65,137,70.6123,144,110.004,132,106.839,177,104.32,140,106.589,142,0.250233,148
"2026","Illinois St.",70.7825,171,68.4628,266,109.194,144,110.489,117,98.5447,80,105.677,120,4.8119,116
"2026","Incarnate Word",67.0969,301,67.9091,293,108.437,152,109.6,126,126.636,358,113.356,307,-3.75586,203
"2026","Indiana",71.2479,153,69.2753,217,123.073,34,118.476,38,89.0289,16,96.6594,15,21.8165,20
"2026","Indiana St.",70.6425,174,72.7888,49,94.5446,314,102.968,260,98.5047,79,104.495,104,-1.5267,166
"2026","Iona",74.4493,53,74.0531,18,109.841,135,106.755,178,105.045,149,109.594,207,-2.83856,186
"2026","Iowa",65.9521,332,65.7579,356,132.785,4,121.372,15,96.4686,61,100.415,55,20.9572,22
"2026","Iowa St.",71.3979,147,70.1772,168,126.557,18,120.991,19,91.304,28,93.188,6,27.8032,6
"2026","IU Indy",83.2107,1,78.862,1,106.319,175,104.654,224,121.616,336,120.391,364,-15.7373,343
"2026","Jackson St.",72.8333,97,71.0462,125,83.6837,360,99.8879,317,135.042,365,113.775,313,-13.8871,330
"2026","Jacksonville",66.6292,315,67.4173,318,95.2611,306,99.9284,316,112.122,255,107.969,166,-8.04095,265
"2026","Jacksonville St.",68.8958,234,68.3658,269,98.0852,282,102.863,261,102.644,117,106.166,129,-3.30303,194
"2026","James Madison",68.8446,235,67.7747,302,115.89,82,113.103,89,114.047,272,113.482,310,-0.379049,153
"2026","Kansas",67.7429,276,68.5504,261,111.818,119,116.08,58,92.897,34,94.2467,9,21.8336,19
